match_ID_result,Team,Total_goal,Total_foul,Goal_diff,Foul_diff,1H_goal,2H_goal
72_72_2,Jordan,1,13,-2,6,0,1
72_72_1,Argentina,3,7,2,-6,2,1
72_71_02,Austria,3,7,0,4,1,2
72_71_01,Algeria,3,3,0,-4,1,2
72_70_2,Uzbekistan,1,16,-2,10,1,0
72_70_1,D.R. Congo,3,6,2,-10,0,3
72_69_02,Portugal,0,6,0,-6,0,0
72_69_01,Colombia,0,12,0,6,0,0
72_68_2,Panama,0,16,-2,3,0,0
72_68_1,England,2,13,2,-3,0,2
72_67_2,Ghana,1,13,-1,4,0,1
72_67_1,Croatia,2,9,1,-4,1,1
72_66_2,New Zealand,1,10,-4,3,0,1
72_66_1,Belgium,5,7,4,-3,1,4
72_65_02,Iran,1,16,0,5,1,0
72_65_01,Egypt,1,11,0,-5,1,0
72_64_2,Uruguay,0,14,-1,0,0,0
72_64_1,Spain,1,14,1,0,1,0
72_63_02,Saudi Arabia,0,16,0,6,0,0
72_63_01,Cape Verde,0,10,0,-6,0,0
72_62_2,Iraq,0,11,-5,1,0,0
72_62_1,Senegal,5,10,5,-1,1,4
72_61_2,Norway,1,9,-3,-2,1,0
72_61_1,France,4,11,3,2,3,1
72_60_2,USA,2,13,-1,0,1,1
72_60_1,Turkey,3,13,1,0,2,1
72_59_02,Australia,0,6,0,-3,0,0
72_59_01,Paraguay,0,9,0,3,0,0
72_58_2,Tunisia,1,11,-2,1,0,1
72_58_1,Netherlands,3,10,2,-1,2,1
72_57_02,Sweden,1,11,0,-9,0,1
72_57_01,Japan,1,20,0,9,0,1
72_56_2,Germany,1,10,-1,-5,1,0
72_56_1,Ecuador,2,15,1,5,1,1
72_55_2,Curacao,0,11,-2,5,0,0
72_55_1,Ivory Coast,2,6,2,-5,1,1
72_54_2,South Korea,0,9,-1,2,0,0
72_54_1,South Africa,1,7,1,-2,0,1
72_53_2,Czech Republic,0,9,-3,-4,0,0
72_53_1,Mexico,3,13,3,4,0,3
72_52_2,Scotland,0,10,-3,-1,0,0
72_52_1,Brazil,3,11,3,1,2,1
72_51_2,Haiti,2,18,-2,8,2,0
72_51_1,Morocco,4,10,2,-8,2,2
72_50_2,Canada,1,13,-1,-6,0,1
72_50_1,Switzerland,2,19,1,6,0,2
72_49_2,Qatar,1,14,-2,5,1,0
72_49_1,Bosnia & Herzegovina,3,9,2,-5,2,1
72_48_2,D.R. Congo,0,16,-1,4,0,0
72_48_1,Colombia,1,12,1,-4,0,1
72_47_2,Panama,0,19,-1,7,0,0
72_47_1,Croatia,1,12,1,-7,0,1
72_46_02,Ghana,0,24,0,10,0,0
72_46_01,England,0,14,0,-10,0,0
72_45_2,Uzbekistan,0,15,-5,1,0,0
72_45_1,Portugal,5,14,5,-1,3,2
72_44_2,Jordan,1,11,-1,5,1,0
72_44_1,Algeria,2,6,1,-5,0,2
72_43_2,Senegal,2,5,-1,-8,0,2
72_43_1,Norway,3,13,1,8,1,2
72_42_2,Iraq,0,4,-3,-4,0,0
72_42_1,France,3,8,3,4,1,2
72_41_2,Austria,0,13,-2,0,0,0
72_41_1,Argentina,2,13,2,0,1,1
72_40_2,New Zealand,1,14,-2,6,1,0
72_40_1,Egypt,3,8,2,-6,0,3
72_39_02,Cape Verde,2,4,0,-7,1,1
72_39_01,Uruguay,2,11,0,7,2,0
72_38_02,Iran,0,9,0,2,0,0
72_38_01,Belgium,0,7,0,-2,0,0
72_37_2,Saudi Arabia,0,2,-4,-8,0,0
72_37_1,Spain,4,10,4,8,3,1
72_36_2,Tunisia,0,8,-4,-7,0,0
72_36_1,Japan,4,15,4,7,2,2
72_35_02,Curacao,0,10,0,3,0,0
72_35_01,Ecuador,0,7,0,-3,0,0
72_34_2,Ivory Coast,1,7,-1,2,1,0
72_34_1,Germany,2,5,1,-2,0,2
72_33_2,Sweden,1,12,-4,3,0,1
72_33_1,Netherlands,5,9,4,-3,2,3
72_32_2,Turkey,0,14,-1,-1,0,0
72_32_1,Paraguay,1,15,1,1,1,0
72_31_2,Haiti,0,14,-3,1,0,0
72_31_1,Brazil,3,13,3,-1,3,0
72_30_2,Scotland,0,11,-1,3,0,0
72_30_1,Morocco,1,8,1,-3,1,0
72_29_2,Australia,0,16,-2,4,0,0
72_29_1,USA,2,12,2,-4,2,0
72_28_2,South Korea,0,7,-1,-2,0,0
72_28_1,Mexico,1,9,1,2,0,1
72_27_2,Qatar,0,10,-6,1,0,0
72_27_1,Canada,6,9,6,-1,3,3
72_26_2,Bosnia & Herzegovina,1,18,-3,11,0,1
72_26_1,Switzerland,4,7,3,-11,0,4
72_25_02,South Africa,1,10,0,-2,0,1
72_25_01,Czech Republic,1,12,0,2,1,0
72_24_2,Uzbekistan,1,14,-2,3,0,1
72_24_1,Colombia,3,11,2,-3,1,2
72_23_2,Panama,0,11,-1,2,0,0
72_23_1,Ghana,1,9,1,-2,0,1
72_22_2,Croatia,2,12,-2,2,2,0
72_22_1,England,4,10,2,-2,2,2
72_21_02,D.R. Congo,1,10,0,1,1,0
72_21_01,Portugal,1,9,0,-1,1,0
72_20_2,Jordan,1,7,-2,-5,0,1
72_20_1,Austria,3,12,2,5,1,2
72_19_2,Algeria,0,8,-3,-5,0,0
72_19_1,Argentina,3,13,3,5,1,2
72_18_2,Iraq,1,12,-3,-1,1,0
72_18_1,Norway,4,13,3,1,2,2
72_17_2,Senegal,1,9,-2,4,0,1
72_17_1,France,3,5,2,-4,0,3
72_16_02,New Zealand,2,8,0,-2,1,1
72_16_01,Iran,2,10,0,2,1,1
72_15_02,Uruguay,1,6,0,-5,0,1
72_15_01,Saudi Arabia,1,11,0,5,1,0
72_14_02,Egypt,1,15,0,0,1,0
72_14_01,Belgium,1,15,0,0,0,1
72_13_02,Cape Verde,0,1,0,-9,0,0
72_13_01,Spain,0,10,0,9,0,0
72_12_2,Tunisia,1,8,-4,-2,1,0
72_12_1,Sweden,5,10,4,2,2,3
72_11_2,Ecuador,0,13,-1,3,0,0
72_11_1,Ivory Coast,1,10,1,-3,0,1
72_10_02,Japan,2,7,0,0,0,2
72_10_01,Netherlands,2,7,0,0,0,2
72_09_2,Curacao,1,11,-6,-7,1,0
72_09_1,Germany,7,18,6,7,3,4
72_08_2,Turkey,0,4,-2,-8,0,0
72_08_1,Australia,2,12,2,8,1,1
72_07_2,Haiti,0,23,-1,2,0,0
72_07_1,Scotland,1,21,1,-2,1,0
72_06_02,Morocco,1,14,0,-2,1,0
72_06_01,Brazil,1,16,0,2,1,0
72_05_02,Switzerland,1,11,0,-1,1,0
72_05_01,Qatar,1,12,0,1,0,1
72_04_2,Paraguay,1,17,-3,4,0,1
72_04_1,USA,4,13,3,-4,3,1
72_03_02,Bosnia & Herzegovina,1,20,0,10,1,0
72_03_01,Canada,1,10,0,-10,0,1
72_02_2,Czech Republic,1,16,-1,7,0,1
72_02_1,South Korea,2,9,1,-7,0,2
72_01_2,South Africa,0,11,-2,-1,0,0
72_01_1,Mexico,2,12,2,1,1,1
32_16_2,Ghana,0,10,-1,-4,0,0
32_16_1,Colombia,1,14,1,4,1,0
32_15_2,Cape Verde,2,12,-1,-1,0,1
32_15_1,Argentina,3,13,1,1,1,0
32_14_2,Australia,1,12,0,-2,0,1
32_14_1,Egypt,1,14,0,2,1,0
32_13_2,Algeria,0,12,-2,2,0,0
32_13_1,Switzerland,2,10,2,-2,1,1
32_12_2,Croatia,1,12,-1,6,0,1
32_12_1,Portugal,2,6,1,-6,0,2
32_11_2,Austria,0,15,-3,7,0,0
32_11_1,Spain,3,8,3,-7,1,2
32_10_2,Bosnia & Herzegovina,0,13,-2,6,0,0
32_10_1,USA,2,7,2,-6,1,1
32_09_2,Senegal,2,12,-1,-10,1,1
32_09_1,Belgium,3,22,1,10,0,2
32_08_2,D.R. Congo,1,12,-1,2,1,0
32_08_1,England,2,10,1,-2,0,2
32_07_2,Ecuador,0,14,-2,4,0,0
32_07_1,Mexico,2,10,2,-4,2,0
32_06_2,Sweden,0,10,-3,-4,0,0
32_06_1,France,3,14,3,4,1,2
32_05_2,Ivory Coast,1,6,-1,-1,0,1
32_05_1,Norway,2,7,1,1,1,1
32_04_2,Netherlands,1,18,0,3,0,1
32_04_1,Morocco,1,15,0,-3,0,1
32_03_2,Germany,1,18,0,6,0,1
32_03_1,Paraguay,1,12,0,-6,1,0
32_02_2,Japan,1,13,-1,9,1,0
32_02_1,Brazil,2,4,1,-9,0,2
32_01_2,South Africa,0,10,-1,-6,0,0
32_01_1,Canada,1,16,1,6,0,1
16_8_2,Colombia,0,21,0,-1,0,0
16_8_1,Switzerland,0,22,0,1,0,0
16_7_2,Egypt,2,11,-1,-2,1,1
16_7_1,Argentina,3,13,1,2,0,3
16_6_2,USA,1,11,-3,2,1,0
16_6_1,Belgium,4,9,3,-2,2,2
16_5_2,Portugal,0,9,-1,-4,0,0
16_5_1,Spain,1,13,1,4,0,1
16_4_2,Mexico,2,14,-1,7,1,1
16_4_1,England,3,7,1,-7,2,1
16_3_2,Brazil,1,7,-1,1,0,1
16_3_1,Norway,2,6,1,-1,0,2
16_2_2,Paraguay,0,13,-1,2,0,0
16_2_1,France,1,11,1,-2,0,1
16_1_2,Canada,0,24,-3,10,0,0
16_1_1,Morocco,3,14,3,-10,0,3
04_4_2,Switzerland,1,18,-2,4,0,1
04_4_1,Argentina,3,14,2,-4,1,0
04_3_2,Norway,1,10,-1,2,1,0
04_3_1,England,2,8,1,-2,1,0
04_2_2,Belgium,1,18,-1,5,1,0
04_2_1,Spain,2,13,1,-5,1,1
04_1_2,Morocco,0,13,-2,3,0,0
04_1_1,France,2,10,2,-3,0,2
02_2_2,England,1,11,-1,-4,0,1
02_2_1,Argentina,2,15,1,4,0,2
02_1_2,France,0,11,-2,-1,0,0
02_1_1,Spain,2,12,2,1,1,1
01_1_2,Argentina,0,25,-1,4,0,0
01_1_1,Spain,1,21,1,-4,0,0
