Rank,Team,passing_accuracy,pass_completed,advanced
1,Spain,90,4945,1
2,Argentina,90,4699,1
3,France,89,3864,1
4,England,89,3577,1
5,Morocco,88,3240,1
6,Switzerland,87,2798,1
7,Norway,88,2727,1
8,Belgium,86,2653,1
9,Portugal,90,2654,1
10,Colombia,87,2437,1
11,Brazil,90,2462,1
12,Germany,90,2436,1
13,Egypt,87,2304,1
14,Algeria,90,2382,1
15,USA,86,2254,1
16,Senegal,88,1978,1
17,Mexico,87,1902,1
18,Canada,82,1722,1
19,Netherlands,88,1797,1
20,Ecuador,86,1717,1
21,C�te d'Ivoire,88,1727,1
22,Croatia,87,1661,1
23,South Africa,85,1573,1
24,Korea Republic,89,1650,1
25,T�rkiye,87,1610,1
26,Austria,85,1561,1
27,Japan,86,1497,1
28,Australia,81,1336,1
29,Bosnia and Herzegovina,81,1317,1
30,Sweden,82,1293,1
31,Cabo Verde,82,1272,1
32,Congo DR,81,1195,1
33,Uruguay,87,1251,0
34,Ghana,84,1172,0
35,Scotland,87,1193,0
36,Paraguay,69,945,0
37,New Zealand,83,1112,0
38,Panama,83,1039,0
39,Saudi Arabia,78,922,0
40,Iraq,81,917,0
41,Czechia,79,872,0
42,Haiti,85,928,0
43,Uzbekistan,78,828,0
44,IR Iran,77,814,0
45,Tunisia,80,812,0
46,Cura�ao,80,770,0
47,Jordan,76,694,0
48,Qatar,78,708,0
