Rank,Team,passing_accuracy,pass_completed,advanced,group
31,Cabo Verde,82,1272,1,Advanced to knockout
4,England,89,3577,1,Advanced to knockout
45,Tunisia,80,812,0,Eliminated in group stage
47,Jordan,76,694,0,Eliminated in group stage
46,Cura�ao,80,770,0,Eliminated in group stage
38,Panama,83,1039,0,Eliminated in group stage
10,Colombia,87,2437,1,Advanced to knockout
42,Haiti,85,928,0,Eliminated in group stage
24,Korea Republic,89,1650,1,Advanced to knockout
5,Morocco,88,3240,1,Advanced to knockout
15,USA,86,2254,1,Advanced to knockout
39,Saudi Arabia,78,922,0,Eliminated in group stage
40,Iraq,81,917,0,Eliminated in group stage
34,Ghana,84,1172,0,Eliminated in group stage
22,Croatia,87,1661,1,Advanced to knockout
16,Senegal,88,1978,1,Advanced to knockout
44,IR Iran,77,814,0,Eliminated in group stage
41,Czechia,79,872,0,Eliminated in group stage
23,South Africa,85,1573,1,Advanced to knockout
12,Germany,90,2436,1,Advanced to knockout
43,Uzbekistan,78,828,0,Eliminated in group stage
17,Mexico,87,1902,1,Advanced to knockout
18,Canada,82,1722,1,Advanced to knockout
26,Austria,85,1561,1,Advanced to knockout
48,Qatar,78,708,0,Eliminated in group stage
33,Uruguay,87,1251,0,Eliminated in group stage
37,New Zealand,83,1112,0,Eliminated in group stage
32,Congo DR,81,1195,1,Advanced to knockout
35,Scotland,87,1193,0,Eliminated in group stage
36,Paraguay,69,945,0,Eliminated in group stage
11,Brazil,90,2462,1,Advanced to knockout
9,Portugal,90,2654,1,Advanced to knockout
