Team,Possession_Percentage,SoT_per_90,Possession_Source,Shooting_Source
Algeria,61.0,3.75,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Argentina,57.6,4.89,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Australia,41.0,2.77,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Austria,45.0,2.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Belgium,51.2,5.37,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Bosnia-Herzegovina,46.0,3.5,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Brazil,53.0,6.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Cabo Verde,37.3,2.77,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Canada,54.4,6.2,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Colombia,57.8,5.63,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Congo DR,40.0,2.25,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Cote d'Ivoire,49.8,3.5,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Croatia,49.8,4.25,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Curacao,32.3,2.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Czechia,42.7,2.67,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Ecuador,55.8,5.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Egypt,51.4,3.38,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
England,54.1,6.36,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
France,55.9,7.37,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Germany,65.0,6.46,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Ghana,36.3,1.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Haiti,42.7,2.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
IR Iran,39.0,3.67,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Iraq,38.3,0.67,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Japan,46.3,3.25,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Jordan,30.7,3.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Korea Republic,63.0,3.67,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Mexico,52.2,4.2,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Morocco,59.0,4.11,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Netherlands,53.3,5.08,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
New Zealand,47.0,5.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Norway,52.2,4.58,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Panama,45.7,2.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Paraguay,30.0,1.5,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Portugal,58.4,3.4,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Qatar,33.0,2.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Saudi Arabia,38.3,2.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Scotland,44.3,2.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Senegal,55.3,5.31,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
South Africa,48.0,2.75,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Spain,64.1,6.48,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Sweden,46.3,5.75,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Switzerland,54.0,4.5,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Tunisia,39.3,2.0,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Turkiye,66.3,5.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
Uruguay,55.0,4.33,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
USA,56.8,3.8,https://fbref.com/en/comps/1/possession/World-Cup-Stats,https://fbref.com/en/comps/1/shooting/World-Cup-Stats
